Car ID,Brand,Model,Year,Fuel Type,Transmission,Engine Size,Mileage,Condition,Price,Car_Age,MRI,Triangle_Score,Audit_Flag
53,Tesla,Model S,2011,Electric,Manual,2.4,267885.0,Like New,9319.14,15,17859.0,80,STAT: LikeNew+Mileage>100k
54,Audi,A4,2007,Electric,Automatic,2.2,147733.0,Used,19993.56,19,7775.4,100,
55,Toyota,Camry,2013,Diesel,Manual,1.3,290834.0,Like New,18035.41,13,22371.8,80,STAT: LikeNew+Mileage>100k
56,Tesla,Model S,2003,Electric,Manual,3.3,294977.0,New,60966.05,23,12825.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
58,BMW,5 Series,2000,Diesel,Manual,4.0,71240.0,New,80341.84,26,2740.0,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | TREND: OldNewExpensive
59,Toyota,Prius,2018,Petrol,Automatic,4.4,106898.0,New,56919.02,8,13362.2,36,STAT: New+Mileage>50k | CREATIVE: TriScore<50
60,BMW,3 Series,2015,Petrol,Manual,1.4,209304.0,Like New,45104.74,11,19027.6,80,STAT: LikeNew+Mileage>100k
61,Mercedes,GLC,2013,Petrol,Manual,5.8,80522.0,Used,63774.29,13,6194.0,100,
62,Honda,Accord,2020,Diesel,Automatic,5.2,145512.0,Like New,47162.21,6,24252.0,80,STAT: LikeNew+Mileage>100k
63,Honda,CR-V,2015,Diesel,Automatic,5.0,119107.0,New,28379.42,11,10827.9,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
64,Toyota,Camry,2004,Electric,Automatic,5.1,22462.0,Used,69523.76,22,1021.0,100,RELATIONAL: ElecLargeEngine
65,Honda,Fit,2008,Hybrid,Automatic,5.7,279965.0,New,87958.17,18,15553.6,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | TREND: OldNewExpensive
66,Audi,A4,2001,Diesel,Manual,3.7,92889.0,New,40422.68,25,3715.6,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
67,Honda,CR-V,2017,Hybrid,Automatic,2.0,88952.0,Used,84946.15,9,9883.6,100,
68,BMW,X3,2005,Petrol,Manual,4.1,193596.0,Used,45952.79,21,9218.9,100,
69,BMW,5 Series,2008,Diesel,Manual,4.7,177505.0,Used,43126.91,18,9861.4,100,
70,Tesla,Model X,2000,Electric,Manual,4.7,221576.0,Like New,7690.81,26,8522.2,80,STAT: LikeNew+Mileage>100k | RELATIONAL: ElecLargeEngine
71,BMW,5 Series,2008,Electric,Manual,3.6,219393.0,Like New,71051.5,18,12188.5,80,STAT: LikeNew+Mileage>100k | RELATIONAL: ElecLargeEngine
72,Tesla,Model S,2015,Electric,Manual,1.3,275455.0,New,81712.74,11,25041.4,30,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
73,BMW,X5,2012,Petrol,Manual,2.9,254084.0,Used,68037.91,14,18148.9,100,
74,Audi,A3,2008,Hybrid,Automatic,5.6,129466.0,New,19379.29,18,7192.6,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
75,Tesla,Model S,2020,Electric,Manual,3.9,30531.0,New,14812.88,6,5088.5,52,RELATIONAL: ElecLargeEngine
76,Ford,Fiesta,2012,Electric,Manual,3.7,14588.0,New,59421.58,14,1042.0,60,RELATIONAL: ElecLargeEngine
77,Mercedes,GLC,2008,Hybrid,Manual,2.3,143452.0,New,43144.04,18,7969.6,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
78,Toyota,RAV4,2010,Electric,Automatic,2.8,173717.0,New,45764.29,16,10857.3,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
79,BMW,X5,2003,Electric,Automatic,5.5,161929.0,Used,96941.02,23,7040.4,100,RELATIONAL: ElecLargeEngine
80,Honda,Fit,2001,Petrol,Manual,4.3,21711.0,Like New,73772.65,25,868.4,100,
81,BMW,5 Series,2005,Hybrid,Automatic,4.9,136169.0,Used,44119.84,21,6484.2,100,
82,Honda,CR-V,2013,Hybrid,Manual,3.3,159465.0,Used,6814.43,13,12266.5,100,
83,Mercedes,GLC,2003,Electric,Automatic,4.2,284220.0,Used,8239.09,23,12357.4,100,RELATIONAL: ElecLargeEngine
84,Mercedes,E-Class,2005,Electric,Manual,2.2,160389.0,Like New,70056.35,21,7637.6,80,STAT: LikeNew+Mileage>100k
85,Mercedes,GLC,2018,Petrol,Automatic,4.5,58480.0,Like New,84585.18,8,7310.0,100,
86,Honda,Fit,2005,Diesel,Automatic,3.1,269188.0,Like New,72231.75,21,12818.5,80,STAT: LikeNew+Mileage>100k
87,BMW,X3,2001,Diesel,Automatic,3.2,250309.0,Used,43559.34,25,10012.4,100,
88,Mercedes,C-Class,2017,Electric,Manual,4.2,55486.0,Like New,7957.9,9,6165.1,100,RELATIONAL: ElecLargeEngine
89,Audi,A3,2012,Diesel,Manual,5.7,55162.0,New,96903.15,14,3940.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
90,Tesla,Model S,2008,Electric,Manual,1.3,210359.0,Like New,98701.93,18,11686.6,80,STAT: LikeNew+Mileage>100k
91,Honda,CR-V,2022,Diesel,Automatic,5.1,29882.0,Used,57189.63,4,7470.5,100,
92,Honda,CR-V,2018,Diesel,Automatic,2.5,54078.0,Used,11713.74,8,6759.8,100,
93,BMW,3 Series,2012,Electric,Manual,3.2,238680.0,New,56392.39,14,17048.6,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
95,Honda,Fit,2000,Diesel,Manual,2.5,174898.0,Like New,69598.62,26,6726.8,80,STAT: LikeNew+Mileage>100k
96,Mercedes,C-Class,2023,Petrol,Manual,3.5,98938.0,New,73398.98,3,32979.3,60,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr
98,Mercedes,E-Class,2006,Hybrid,Manual,3.5,32543.0,Used,15118.61,20,1627.2,100,
99,Tesla,Model 3,2020,Electric,Automatic,5.6,124279.0,Like New,17098.13,6,20713.2,80,STAT: LikeNew+Mileage>100k | RELATIONAL: ElecLargeEngine
100,Tesla,Model 3,2014,Electric,Automatic,1.5,29362.0,Like New,90915.8,12,2446.8,100,
101,Mercedes,GLA,2000,Petrol,Automatic,4.8,158818.0,Like New,54955.72,26,6108.4,80,STAT: LikeNew+Mileage>100k
102,Tesla,Model S,2011,Electric,Manual,3.0,242721.0,Like New,80199.63,15,16181.4,80,STAT: LikeNew+Mileage>100k
103,BMW,X5,2006,Hybrid,Automatic,4.3,165229.0,Like New,15952.67,20,8261.4,80,STAT: LikeNew+Mileage>100k
104,Toyota,Camry,2014,Diesel,Manual,2.3,142394.0,Used,93126.06,12,11866.2,100,
105,Mercedes,GLC,2020,Petrol,Manual,1.8,69812.0,Used,83008.5,6,11635.3,100,
106,Audi,A4,2018,Hybrid,Manual,1.8,296161.0,Used,26352.59,8,37020.1,100,CREATIVE: MRI>25kmi/yr
107,Audi,Q7,2000,Electric,Manual,1.4,228208.0,Used,88047.31,26,8777.2,100,
108,Honda,Accord,2016,Diesel,Manual,1.9,279773.0,New,30027.06,10,27977.3,30,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
109,Tesla,Model 3,2016,Electric,Manual,4.3,128614.0,Used,24507.29,10,12861.4,100,RELATIONAL: ElecLargeEngine
110,Audi,Q5,2002,Petrol,Automatic,5.4,96950.0,New,30103.17,24,4039.6,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
111,Honda,Accord,2011,Hybrid,Automatic,5.1,174942.0,Used,91445.73,15,11662.8,100,
113,BMW,X5,2010,Hybrid,Automatic,1.6,245602.0,Like New,36254.6,16,15350.1,80,STAT: LikeNew+Mileage>100k
114,BMW,3 Series,2002,Hybrid,Manual,2.4,10588.0,Like New,72016.25,24,441.2,100,CREATIVE: MRI<500mi/yr
115,BMW,5 Series,2007,Diesel,Manual,2.5,168217.0,New,69195.8,19,8853.5,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
116,Audi,A3,2013,Diesel,Automatic,2.2,272743.0,Used,81623.45,13,20980.2,100,
117,Toyota,Camry,2013,Electric,Automatic,3.6,208502.0,Used,33168.4,13,16038.6,100,RELATIONAL: ElecLargeEngine
118,Audi,Q5,2009,Diesel,Automatic,3.7,134011.0,New,53463.16,17,7883.0,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
119,Tesla,Model 3,2001,Electric,Automatic,2.8,252856.0,New,68429.03,25,10114.2,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
120,Audi,Q5,2013,Petrol,Automatic,2.8,284293.0,New,7494.4,13,21868.7,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
121,Toyota,Camry,2008,Hybrid,Automatic,5.1,197639.0,New,40790.18,18,10979.9,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
122,Toyota,Prius,2002,Petrol,Automatic,4.9,141280.0,New,71109.39,24,5886.7,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
123,Tesla,Model S,2020,Electric,Automatic,2.5,197170.0,Like New,28996.53,6,32861.7,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
124,Toyota,Corolla,2007,Diesel,Manual,5.6,180564.0,Used,95981.89,19,9503.4,100,
125,Toyota,Corolla,2015,Diesel,Manual,5.8,20951.0,New,7865.33,11,1904.6,50,
126,BMW,X3,2001,Diesel,Manual,2.6,179992.0,Like New,96018.28,25,7199.7,80,STAT: LikeNew+Mileage>100k
127,Tesla,Model X,2005,Electric,Manual,2.8,46766.0,New,25592.57,21,2227.0,30,CREATIVE: TriScore<50
128,Ford,Mustang,2020,Diesel,Automatic,3.5,159423.0,Like New,9638.09,6,26570.5,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
129,Ford,Explorer,2011,Hybrid,Manual,5.7,87122.0,New,32785.03,15,5808.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
130,Toyota,Corolla,2004,Hybrid,Automatic,5.4,271452.0,Used,79696.82,22,12338.7,100,
131,Ford,Explorer,2001,Hybrid,Manual,1.5,83211.0,New,76481.99,25,3328.4,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
132,Ford,Focus,2015,Petrol,Automatic,3.0,126534.0,New,24839.84,11,11503.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
133,Toyota,RAV4,2004,Diesel,Automatic,3.8,8720.0,Used,23695.06,22,396.4,75,CREATIVE: MRI<500mi/yr
134,Ford,Focus,2014,Petrol,Manual,3.5,79993.0,Used,66045.09,12,6666.1,100,
136,Honda,Accord,2003,Electric,Automatic,5.3,25905.0,Used,80267.55,23,1126.3,100,RELATIONAL: ElecLargeEngine
137,Tesla,Model 3,2014,Electric,Automatic,4.4,204580.0,Used,7292.61,12,17048.3,100,RELATIONAL: ElecLargeEngine
138,Honda,Accord,2010,Petrol,Automatic,5.2,50385.0,Like New,62989.13,16,3149.1,100,
139,Toyota,Corolla,2015,Hybrid,Manual,5.3,30653.0,Used,74413.84,11,2786.6,100,
140,BMW,3 Series,2022,Petrol,Manual,4.7,91865.0,Used,99371.68,4,22966.2,100,
141,Tesla,Model 3,2005,Electric,Automatic,3.2,125813.0,New,69484.26,21,5991.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
142,Toyota,Prius,2013,Diesel,Manual,4.1,145871.0,New,27025.29,13,11220.8,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
143,BMW,5 Series,2017,Hybrid,Automatic,1.8,191175.0,Like New,15277.69,9,21241.7,80,STAT: LikeNew+Mileage>100k
144,Honda,Fit,2011,Hybrid,Manual,4.4,248535.0,New,65887.09,15,16569.0,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
145,Toyota,Camry,2010,Diesel,Manual,1.9,15052.0,Used,54702.39,16,940.8,100,
146,Tesla,Model Y,2012,Electric,Manual,4.5,137116.0,Used,90418.8,14,9794.0,100,RELATIONAL: ElecLargeEngine
147,Tesla,Model 3,2020,Electric,Manual,2.1,150943.0,Used,74027.76,6,25157.2,100,CREATIVE: MRI>25kmi/yr
148,Mercedes,E-Class,2022,Petrol,Manual,1.6,220375.0,New,53425.53,4,55093.8,48,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
149,Audi,Q7,2010,Petrol,Automatic,1.8,21381.0,Used,43341.0,16,1336.3,100,
150,Ford,Focus,2022,Petrol,Automatic,1.0,148346.0,Used,43415.6,4,37086.5,100,CREATIVE: MRI>25kmi/yr
151,BMW,3 Series,2015,Petrol,Manual,4.6,243234.0,Like New,26498.91,11,22112.2,80,STAT: LikeNew+Mileage>100k
152,Mercedes,GLA,2014,Petrol,Automatic,4.7,256017.0,Like New,6645.97,12,21334.8,80,STAT: LikeNew+Mileage>100k
153,Ford,Mustang,2020,Electric,Automatic,3.6,235020.0,Like New,59616.51,6,39170.0,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr | RELATIONAL: ElecLargeEngine
154,Ford,Mustang,2014,Electric,Manual,1.8,49892.0,New,25179.4,12,4157.7,30,CREATIVE: TriScore<50
155,Toyota,Camry,2003,Hybrid,Automatic,1.4,181593.0,Used,24791.06,23,7895.3,100,
156,Ford,Mustang,2010,Petrol,Manual,1.1,214992.0,Used,16911.22,16,13437.0,100,
157,Audi,A3,2018,Diesel,Automatic,1.8,280064.0,Used,23011.57,8,35008.0,100,CREATIVE: MRI>25kmi/yr
158,Tesla,Model 3,2014,Electric,Automatic,5.5,278846.0,Like New,8019.97,12,23237.2,80,STAT: LikeNew+Mileage>100k | RELATIONAL: ElecLargeEngine
159,Mercedes,C-Class,2003,Electric,Automatic,2.2,256216.0,Used,69051.99,23,11139.8,100,
160,Ford,Fiesta,2020,Petrol,Automatic,2.8,264038.0,Used,43132.73,6,44006.3,100,CREATIVE: MRI>25kmi/yr
161,Toyota,Camry,2012,Electric,Automatic,1.5,293129.0,Used,58344.84,14,20937.8,100,
162,Audi,A4,2021,Hybrid,Automatic,2.1,159359.0,Used,65510.97,5,31871.8,100,CREATIVE: MRI>25kmi/yr
163,Honda,Civic,2018,Hybrid,Automatic,3.6,258771.0,Used,97386.03,8,32346.4,100,CREATIVE: MRI>25kmi/yr
164,Tesla,Model Y,2001,Electric,Manual,4.0,125702.0,New,11485.26,25,5028.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
165,Tesla,Model 3,2013,Electric,Manual,2.2,73527.0,Used,44702.18,13,5655.9,100,
166,Mercedes,E-Class,2003,Petrol,Manual,1.3,146511.0,New,28360.3,23,6370.0,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
167,Tesla,Model Y,2015,Electric,Manual,3.0,225692.0,Used,50287.63,11,20517.5,100,
168,Ford,Explorer,2020,Diesel,Automatic,2.2,158731.0,New,92444.87,6,26455.2,42,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
170,Tesla,Model Y,2013,Electric,Automatic,5.8,235311.0,Used,67885.21,13,18100.8,100,RELATIONAL: ElecLargeEngine
172,Honda,CR-V,2002,Petrol,Manual,3.8,199378.0,Used,68755.69,24,8307.4,100,
173,Honda,CR-V,2007,Electric,Manual,3.1,56697.0,Like New,8075.66,19,2984.1,100,
175,Audi,A3,2009,Diesel,Manual,3.7,278795.0,New,57608.77,17,16399.7,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
176,Ford,Fiesta,2003,Diesel,Automatic,4.5,180116.0,Like New,37930.84,23,7831.1,80,STAT: LikeNew+Mileage>100k
177,Tesla,Model 3,2017,Electric,Manual,4.5,14633.0,Like New,24143.84,9,1625.9,100,RELATIONAL: ElecLargeEngine
178,Tesla,Model S,2001,Electric,Automatic,1.9,79164.0,Used,81717.78,25,3166.6,100,
180,BMW,X5,2012,Electric,Automatic,3.1,123425.0,New,11618.92,14,8816.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
181,Audi,Q7,2003,Petrol,Manual,5.4,250220.0,Like New,46849.57,23,10879.1,80,STAT: LikeNew+Mileage>100k
182,BMW,5 Series,2010,Electric,Manual,4.2,295182.0,New,28992.68,16,18448.9,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
183,Mercedes,GLA,2006,Diesel,Automatic,3.7,180160.0,Used,75817.98,20,9008.0,100,
184,Audi,Q7,2011,Diesel,Automatic,1.6,204249.0,Used,65248.06,15,13616.6,100,
185,Tesla,Model Y,2009,Electric,Manual,4.0,205538.0,Used,78390.81,17,12090.5,100,RELATIONAL: ElecLargeEngine
186,Tesla,Model X,2006,Electric,Automatic,1.6,197865.0,Used,35844.5,20,9893.2,100,
187,Audi,A4,2012,Diesel,Manual,2.7,201466.0,Used,75349.3,14,14390.4,100,
188,Tesla,Model Y,2006,Electric,Automatic,1.7,187223.0,Like New,86918.81,20,9361.2,80,STAT: LikeNew+Mileage>100k
190,Audi,Q5,2016,Diesel,Automatic,2.0,137980.0,Used,37290.1,10,13798.0,100,
191,BMW,X3,2009,Petrol,Manual,3.0,68447.0,Like New,90495.38,17,4026.3,100,
192,Audi,Q5,2009,Diesel,Manual,5.5,205599.0,Like New,9730.07,17,12094.1,80,STAT: LikeNew+Mileage>100k
193,Tesla,Model X,2023,Electric,Manual,2.0,226301.0,Like New,38267.99,3,75433.7,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
194,Ford,Fiesta,2003,Petrol,Automatic,3.5,279778.0,New,16273.89,23,12164.3,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
196,Mercedes,GLA,2003,Diesel,Automatic,1.1,55063.0,Used,15722.59,23,2394.0,100,
198,Honda,Accord,2006,Diesel,Automatic,1.3,19340.0,Used,70260.83,20,967.0,100,
199,Honda,CR-V,2021,Electric,Manual,3.4,62781.0,New,32481.83,5,12556.2,45,STAT: New+Mileage>50k | CREATIVE: TriScore<50
200,Audi,Q5,2000,Diesel,Automatic,3.8,277045.0,Used,85719.15,26,10655.6,100,
201,Mercedes,GLA,2011,Hybrid,Automatic,4.1,10638.0,Used,46573.48,15,709.2,100,
202,Toyota,Prius,2023,Diesel,Automatic,4.4,217986.0,New,96981.66,3,72662.0,60,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr
203,Audi,A3,2012,Petrol,Manual,2.3,221668.0,Like New,95644.79,14,15833.4,80,STAT: LikeNew+Mileage>100k
204,Mercedes,GLC,2009,Hybrid,Automatic,1.0,294786.0,New,78461.24,17,17340.4,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
205,BMW,3 Series,2014,Electric,Automatic,4.6,25378.0,Used,93578.52,12,2114.8,100,RELATIONAL: ElecLargeEngine
206,BMW,X3,2012,Hybrid,Automatic,3.7,118171.0,New,72174.13,14,8440.8,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
207,BMW,X3,2022,Hybrid,Automatic,5.2,214801.0,Like New,90080.4,4,53700.2,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
208,BMW,3 Series,2021,Hybrid,Manual,5.1,64377.0,Like New,27465.0,5,12875.4,100,
209,BMW,X5,2021,Petrol,Manual,5.2,260339.0,Like New,37814.92,5,52067.8,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
210,Mercedes,C-Class,2020,Petrol,Automatic,3.4,54691.0,Like New,76528.36,6,9115.2,100,
214,Tesla,Model S,2014,Electric,Manual,1.9,121399.0,Used,33474.3,12,10116.6,100,
215,BMW,5 Series,2009,Hybrid,Manual,5.3,31357.0,New,83227.83,17,1844.5,40,CREATIVE: TriScore<50 | TREND: OldNewExpensive
216,Toyota,Corolla,2023,Petrol,Manual,5.4,294458.0,Used,19655.11,3,98152.7,100,CREATIVE: MRI>25kmi/yr
217,Tesla,Model Y,2009,Electric,Manual,3.3,70283.0,Like New,36748.69,17,4134.3,100,
218,Mercedes,C-Class,2007,Petrol,Automatic,1.4,59567.0,Used,54206.67,19,3135.1,100,
220,Toyota,Prius,2015,Electric,Manual,5.0,141758.0,Like New,60030.44,11,12887.1,80,STAT: LikeNew+Mileage>100k | RELATIONAL: ElecLargeEngine
221,Toyota,RAV4,2016,Diesel,Manual,5.5,61606.0,Used,59976.03,10,6160.6,100,
